,0,1,2,3,4,5,6,7,8,9
0,2021.04.22,2021.03.22,2021.02.22,2021.01.29,2020.12.14,2020.12.08,2020.11.19,2020.11.07,2020.10.22,2020.10.07
1,2021.04.23,2021.04.16,2021.04.08,2021.04.01,2021.03.26,2020.10.14,2020.08.28,2020.07.31,2020.07.27,2020.07.16
2,2021.04.17,2021.03.31,2021.03.22,2021.03.03,2021.02.12,2021.02.08,2021.01.18,2021.01.01,2020.12.15,2020.11.30
3,2021.03.24,2021.03.17,2021.03.03,2021.02.24,2021.02.17,2021.02.10,2021.02.03,2021.01.27,2021.01.21,2021.01.13
4,2021.04.15,2021.04.05,2021.03.25,2021.03.15,2021.03.10,2021.03.05,2021.02.26,2021.02.19,2021.02.12,2021.02.05
5,2021.04.24,2021.04.17,2021.04.11,2021.04.10,2021.04.08,2021.04.03,2021.04.01,2021.03.27,2021.03.20,2021.03.14
6,2021.04.19,2021.04.12,2021.04.05,2021.03.29,2021.03.22,2021.03.15,2021.03.08,2021.03.01,2021.02.21,2021.02.14
7,2021.04.12,2021.03.21,2021.03.02,2021.03.02,,,,,,
8,2021.03.30,2020.12.24,2020.12.18,2020.12.04,2020.10.31,2020.10.10,2020.09.01,2020.07.12,2020.05.22,2020.04.30
9,2021.04.20,2021.04.15,2021.04.09,2021.04.04,2021.03.29,2021.03.26,2021.03.21,2021.03.16,2021.03.11,2021.03.05
10,2021.04.18,2021.04.06,2021.04.02,2021.03.30,2021.03.27,2021.03.25,2021.03.23,2021.03.20,2021.03.18,2021.03.16
11,2021.03.27,2020.12.27,2020.09.12,2020.07.19,2020.04.30,2020.02.26,2020.01.31,2019.10.02,2019.07.31,2019.05.01
12,2021.03.30,2021.02.25,2021.02.05,2021.01.01,2020.11.30,2020.11.05,2020.10.16,2020.09.27,2020.09.23,2020.09.08
13,2021.04.21,2021.04.14,2021.04.07,2021.03.31,2021.03.24,2021.03.17,2021.03.10,2021.03.03,2021.02.24,2021.02.17
14,2021.04.07,2021.03.31,2021.03.28,2021.03.21,2021.03.14,2021.03.11,2021.03.04,,,
15,2021.04.19,2021.04.12,2021.04.05,2021.03.29,2021.03.22,2021.03.15,2021.03.08,2021.03.01,2021.02.22,2021.02.15
16,2021.04.15,2021.04.08,2021.03.31,2021.03.09,2021.03.01,2021.02.22,2021.02.15,2021.02.08,2021.01.31,2021.01.25
17,2021.04.19,2021.03.25,2021.03.10,2021.02.24,2021.02.22,2021.02.19,2021.02.03,2021.01.20,2021.01.14,2021.01.12
18,2021.04.23,2021.04.16,2021.04.09,2021.04.02,2021.03.26,2021.03.19,2021.03.12,2021.03.05,2021.02.26,2021.02.19
19,2021.04.16,2021.04.09,2021.04.01,2021.03.26,2021.03.19,2021.03.12,2021.03.07,2021.03.05,2021.02.26,2021.02.19
20,2021.04.08,2021.04.07,2021.03.21,2021.03.07,2021.02.11,2021.02.08,2021.01.28,2021.01.17,2021.01.05,2020.12.19
21,2021.04.18,2021.04.11,2021.03.28,2021.03.21,2021.03.14,2021.03.07,2021.02.28,2021.02.21,2021.02.14,2021.02.07
22,2021.04.12,2021.03.07,2021.02.08,2021.01.15,2020.12.26,2020.11.27,2020.08.26,2020.08.08,2020.07.24,2020.07.17
23,2021.04.23,2021.04.20,2021.04.13,2021.04.09,2021.04.06,2021.03.22,2021.03.15,2021.03.05,2021.02.26,2021.02.23
24,2021.04.06,2021.03.23,2021.03.08,2021.01.13,2020.12.30,2020.12.16,2020.12.02,2020.11.18,2020.11.04,2020.10.21
25,2021.04.20,2021.04.13,2021.03.30,2021.03.23,2021.03.16,2021.03.09,2021.03.02,2021.02.23,2021.02.16,2021.02.09
26,2021.04.17,2021.04.10,2020.11.20,2020.11.12,2020.11.04,2020.10.21,2020.10.13,2020.10.05,2020.09.27,2020.09.19
27,2021.04.15,2021.03.30,2021.03.10,2021.03.01,2021.02.01,2020.11.01,2020.10.13,2020.09.23,2020.09.10,2020.02.18
28,2021.04.23,2021.04.22,2021.04.09,2021.04.08,2021.04.03,2021.04.01,2021.04.01,2021.03.27,2021.03.25,2021.03.19
29,2021.04.15,2021.04.05,2021.03.29,2021.03.22,2021.03.15,2021.03.08,2021.03.01,2021.02.27,2021.02.21,2021.02.14
30,2021.04.20,2021.04.12,2021.04.07,2021.04.01,2021.03.19,2021.03.12,2021.03.06,2021.03.04,2021.02.23,2021.02.18
31,2021.03.23,2021.03.16,2021.03.09,2021.03.02,2021.02.23,2021.02.16,2021.02.09,2021.02.02,2021.01.26,2021.01.19
32,2021.04.18,2021.04.11,2021.04.04,2021.03.28,2021.03.21,2021.03.14,2021.03.06,2021.02.27,2021.02.20,2021.02.13
33,2021.04.18,2021.04.04,2021.03.29,2021.03.21,2021.03.14,2021.03.07,2021.03.01,2021.02.21,2021.02.14,2021.02.07
34,2021.04.20,2021.04.13,2021.04.06,2021.04.01,2021.03.30,2021.03.23,2021.03.16,2021.03.09,2021.03.02,2021.02.23
35,2021.04.19,2021.04.11,2021.04.04,2021.03.28,2021.03.22,2021.03.14,2021.03.08,2021.03.01,2021.02.21,2021.02.14
36,2021.04.21,2021.04.14,2021.04.07,2021.03.31,2021.03.24,2021.03.17,2021.03.10,2021.03.03,2021.02.24,2021.02.17
37,2021.04.12,2021.03.31,,,,,,,,
38,2021.04.19,2021.04.12,2021.04.05,2021.03.29,2021.03.22,2021.03.15,2021.03.08,2021.03.01,2021.02.22,2021.02.15
39,2021.04.18,2021.04.11,2021.04.04,2021.03.28,2021.03.21,2021.03.14,2021.03.07,2021.02.28,2021.01.23,2021.01.17
40,2021.04.21,2021.04.14,2021.04.07,2021.03.31,2021.03.24,2021.03.17,2021.03.10,2021.03.03,2021.02.24,2021.02.17
41,2021.04.21,2021.03.21,2021.03.14,2021.03.09,2020.12.29,2020.11.22,2020.08.21,2020.07.22,2020.06.21,2020.03.15
42,2021.03.25,2021.03.23,2021.03.22,2021.03.15,2021.03.08,2021.03.01,2021.02.22,2021.02.15,2021.02.08,2021.02.01
43,2021.04.23,2021.04.16,2021.04.09,2021.04.02,2021.03.26,2021.03.19,2021.03.12,2021.03.05,2021.02.26,2021.02.19
44,2021.03.27,2021.03.25,2019.06.05,,,,,,,
45,2021.04.04,2021.03.31,2021.03.24,2021.03.17,2021.03.10,2021.03.03,2021.02.24,,,
46,2021.04.24,2021.04.22,2021.04.15,2021.04.14,2021.04.07,2021.04.02,2021.03.31,2021.03.29,2021.03.26,2021.03.25
47,2021.04.21,2021.04.14,2021.04.07,2021.03.31,2021.03.24,2021.03.16,2021.03.10,2021.03.03,2021.02.24,2021.02.10
